filename	acq_time	operator	randstr
anat/sub-08_ses-01_acq-orig_T1w.nii.gz	2019-10-09T11:05:36	n/a	ed97d8af
anat/sub-08_ses-01_acq-hcHighres_T1w.nii.gz	2019-10-09T11:12:42	n/a	95ac4803
func/sub-08_ses-01_task-feedBES_run-001_bold.nii.gz	2019-10-09T11:16:36	n/a	8625ab39
fmap/sub-08_ses-01_acq-feedBES_dir-AP_epi.nii.gz	2019-10-09T11:27:31	n/a	19057838
fmap/sub-08_ses-01_acq-feedBES_dir-PA_epi.nii.gz	2019-10-09T11:28:24	n/a	b7dc90bd
func/sub-08_ses-01_task-feedBES_run-002_bold.nii.gz	2019-10-09T11:29:24	n/a	065da93d
func/sub-08_ses-01_task-tarmap_bold.nii.gz	2019-10-09T11:39:56	n/a	d15f4519
